Date(UTC),Symbol,Side,Price,Quantity,Amount,Fee,Realized Profit,Leverage,Margin Mode
2026-09-01 23:04:02,ETHUSDT,SELL,3579.171151,0.907456ETH,3247.9418USDT,1.299177USDT,72.2310USDT,5x,Cross
2026-09-01 18:00:03,ETHUSDT,BUY,3499.573921,0.907456ETH,3175.7107USDT,1.270284USDT,0.0000USDT,5x,Cross
2026-08-31 15:25:04,ETHUSDT,BUY,4066.129368,0.514965ETH,2093.9125USDT,0.837565USDT,7.4593USDT,10x,Cross
2026-08-31 13:38:00,ETHUSDT,SELL,4080.614523,0.514965ETH,2101.3719USDT,0.840549USDT,0.0000USDT,10x,Cross
2026-08-31 10:25:35,BTCUSDT,SELL,84466.790808,0.031164BTC,2632.3460USDT,1.052938USDT,21.1991USDT,10x,Cross
2026-08-31 06:43:58,SOLUSDT,BUY,195.697263,17.302316SOL,3386.0158USDT,1.354406USDT,-172.8562USDT,20x,Cross
2026-08-31 06:40:03,BTCUSDT,BUY,83786.553595,0.031164BTC,2611.1469USDT,1.044459USDT,0.0000USDT,10x,Cross
2026-08-31 03:33:30,BTCUSDT,BUY,85662.449276,0.068029BTC,5827.5525USDT,2.331021USDT,-76.0277USDT,5x,Cross
2026-08-31 00:39:10,SOLUSDT,SELL,185.706915,17.302316SOL,3213.1596USDT,1.285264USDT,0.0000USDT,20x,Cross
2026-08-30 23:15:44,BTCUSDT,BUY,79616.130705,0.036353BTC,2894.3200USDT,1.157728USDT,47.5504USDT,10x,Cross
2026-08-30 19:18:56,BTCUSDT,SELL,85552.315728,0.027173BTC,2324.6778USDT,0.929871USDT,0.0000USDT,5x,Cross
2026-08-30 17:57:40,BTCUSDT,SELL,80924.13275,0.036353BTC,2941.8704USDT,1.176748USDT,0.0000USDT,10x,Cross
2026-08-30 17:06:03,BTCUSDT,SELL,84763.034506,0.015588BTC,1321.2575USDT,0.528503USDT,0.0000USDT,5x,Cross
2026-08-30 15:15:20,BTCUSDT,SELL,83326.967143,0.025269BTC,2105.5895USDT,0.842236USDT,0.0000USDT,5x,Cross
2026-08-29 01:40:56,SOLUSDT,SELL,169.875881,38.815529SOL,6593.8222USDT,2.637529USDT,-65.8856USDT,5x,Cross
2026-08-28 18:30:39,BTCUSDT,SELL,78210.645853,0.067871BTC,5308.2597USDT,2.123304USDT,-96.2052USDT,10x,Cross
2026-08-28 17:54:39,SOLUSDT,BUY,168.553816,14.90454SOL,2512.2171USDT,1.004887USDT,0.0000USDT,5x,Cross
2026-08-28 15:49:23,SOLUSDT,BUY,171.220432,10.979818SOL,1879.9691USDT,0.751988USDT,0.0000USDT,5x,Cross
2026-08-28 14:04:59,SOLUSDT,BUY,175.353149,12.931172SOL,2267.5217USDT,0.907009USDT,0.0000USDT,5x,Cross
2026-08-28 14:00:06,ETHUSDT,BUY,3759.843437,0.723906ETH,2721.7723USDT,1.088709USDT,27.7569USDT,5x,Cross
2026-08-28 11:27:03,ETHUSDT,SELL,3798.186689,0.723906ETH,2749.5292USDT,1.099812USDT,0.0000USDT,5x,Cross
2026-08-27 21:20:44,DOGEUSDT,SELL,0.160793,46267.611936DOGE,7439.5175USDT,2.975807USDT,-198.7497USDT,10x,Cross
2026-08-27 13:43:29,ETHUSDT,SELL,3514.253943,0.588941ETH,2069.6876USDT,0.827875USDT,-46.5911USDT,10x,Cross
2026-08-27 13:36:27,DOGEUSDT,BUY,0.161542,13178.181769DOGE,2128.8328USDT,0.851533USDT,0.0000USDT,10x,Cross
